n,repetition,gamma,tau,probe_collisions,total_probes,resize_count,moved_entries,final_capacity,elapsed_ns
10000,18,3.0,0.75,16643,26643,7,10655,28477,10818200
10000,18,3.0,0.9,54079,64079,7,12786,28477,14055500
10000,19,1.5,0.5,10327,20327,18,22203,22303,15448300
10000,19,1.5,0.75,34049,44049,17,22160,14867,16717000
10000,19,1.5,0.9,111174,121174,17,26594,14867,24439400
10000,19,2.0,0.5,13464,23464,11,12816,25717,12113300
10000,19,2.0,0.75,38712,48712,11,19226,25717,16417000
10000,19,2.0,0.9,73126,83126,10,11506,12853,16700200
10000,19,3.0,0.5,5246,15246,7,7102,28477,7873400
10000,19,3.0,0.75,15957,25957,7,10655,28477,10846600
10000,19,3.0,0.9,48337,58337,7,12786,28477,14635700
10000,20,1.5,0.5,10043,20043,18,22203,22303,14736800
10000,20,1.5,0.75,31542,41542,17,22160,14867,16030800
10000,20,1.5,0.9,105266,115266,17,26594,14867,25962100
10000,20,2.0,0.5,6851,16851,11,12816,25717,9347800
10000,20,2.0,0.75,24967,34967,11,19226,25717,13790800
10000,20,2.0,0.9,57845,67845,10,11506,12853,14311400
10000,20,3.0,0.5,5094,15094,7,7102,28477,7646500
10000,20,3.0,0.75,15215,25215,7,10655,28477,10164600
10000,20,3.0,0.9,49692,59692,7,12786,28477,13610700
