run_id,resize_number,old_capacity,new_capacity,gamma_effective,size,trigger_load,alpha_pre,alpha_post,moved_entries,pair_collisions_after,old_hash_a,old_hash_b,new_hash_a,new_hash_b
n1000-g1.5-t0.5-r1-h31042,4,47,71,1.5106382978723405,23,0.5106382978723404,0.48936170212765956,0.323943661971831,23,4,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g1.5-t0.5-r1-h31042,5,71,107,1.5070422535211268,35,0.5070422535211268,0.49295774647887325,0.32710280373831774,35,9,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.5-t0.5-r1-h31042,6,107,163,1.5233644859813085,53,0.5046728971962616,0.4953271028037383,0.32515337423312884,53,7,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.5-t0.5-r1-h31042,7,163,251,1.539877300613497,81,0.5030674846625767,0.49693251533742333,0.32270916334661354,81,13,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.5-t0.5-r1-h31042,8,251,379,1.5099601593625498,125,0.50199203187251,0.49800796812749004,0.32981530343007914,125,21,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.5-t0.5-r1-h31042,9,379,569,1.5013192612137203,189,0.5013192612137203,0.49868073878627966,0.3321616871704745,189,29,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.5-t0.5-r1-h31042,10,569,857,1.5061511423550087,284,0.5008787346221442,0.4991212653778559,0.3313885647607935,284,34,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.5-t0.5-r1-h31042,11,857,1289,1.5040840140023337,428,0.5005834305717619,0.49941656942823803,0.33204034134988364,428,72,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.5-t0.5-r1-h31042,12,1289,1949,1.5120248254460822,644,0.5003878975950349,0.49961210240496506,0.3304258594150847,644,89,530133399472470732,283097919641614406,1055129681217370319,1286563909733345339
n1000-g1.5-t0.5-r1-h31042,13,1949,2927,1.5017957927142125,974,0.5002565418163161,0.49974345818368393,0.3327639221045439,974,617,1055129681217370319,1286563909733345339,475811965840538922,361802660261835333
