n,growth_factor,load_threshold,input_type,elapsed_time_mean,elapsed_time_median,elapsed_time_std,elapsed_time_min,elapsed_time_max,time_per_operation_mean,time_per_operation_median,time_per_operation_std,time_per_operation_min,time_per_operation_max,collisions_mean,collisions_median,collisions_std,collisions_min,collisions_max,rehashes_mean,rehashes_median,rehashes_std,rehashes_min,rehashes_max,rehash_operations_mean,rehash_operations_median,rehash_operations_std,rehash_operations_min,rehash_operations_max,final_capacity_mean,final_capacity_median,final_capacity_std,final_capacity_min,final_capacity_max,unused_capacity_mean,unused_capacity_median,unused_capacity_std,unused_capacity_min,unused_capacity_max,utilization_mean,utilization_median,utilization_std,utilization_min,utilization_max,estimated_memory_mean,estimated_memory_median,estimated_memory_std,estimated_memory_min,estimated_memory_max,total_operation_cost_mean,total_operation_cost_median,total_operation_cost_std,total_operation_cost_min,total_operation_cost_max,amortized_cost_mean,amortized_cost_median,amortized_cost_std,amortized_cost_min,amortized_cost_max
5000,1.5,0.75,random,0.007056373333519583,0.005167449999134949,0.007114089870760633,0.0049506999930599,0.0333858000085456,1.4112746667039269e-06,1.0334899998269974e-06,1.422817974152125e-06,9.90139998611994e-07,6.677160001709126e-06,2310.1666666666665,2258.5,228.5584635588187,2156,3465,15.0,15.0,0.0,15,15,10579.0,10579.0,0.0,10579,10579,7065.0,7065.0,0.0,7065,7065,2065.0,2065.0,0.0,2065,2065,0.7077140835102619,0.7077140835102619,0.0,0.7077140835102619,0.7077140835102619,709479.4666666667,712016.0,10311.611438779471,656464,713200,46737.0,46737.0,0.0,46737,46737,9.3474,9.3474,0.0,9.3474,9.3474
5000,1.5,0.9,random,0.007885379999546126,0.0057192500025848,0.008269458982746565,0.0054244999919319,0.0421809999970719,1.5770759999092358e-06,1.1438500005169773e-06,1.6538917965493109e-06,1.0848999983863906e-06,8.436199999414384e-06,2601.866666666667,2581.5,171.97889472224526,2454,3468,15.0,15.0,0.0,15,15,12691.0,12691.0,0.0,12691,12691,7065.0,7065.0,0.0,7065,7065,2065.0,2065.0,0.0,2065,2065,0.7077140835102619,0.7077140835102619,0.0,0.7077140835102619,0.7077140835102619,709479.4666666667,712016.0,10311.611438779471,656464,713200,53073.0,53073.0,0.0,53073,53073,10.6146,10.6146,0.0,10.6146,10.6146
5000,2.0,0.5,random,0.008104236666986207,0.0051277499951538005,0.009214130939988067,0.0047562999970978,0.0371859000006224,1.6208473333972507e-06,1.0255499990307727e-06,1.8428261879976144e-06,9.512599994195624e-07,7.4371800001244994e-06,1436.2333333333333,1432.5,31.572230632732264,1392,1543,10.0,10.0,0.0,10,10,8194.0,8194.0,0.0,8194,8194,16384.0,16384.0,0.0,16384,16384,11384.0,11384.0,0.0,11384,11384,0.30517578125,0.30517578125,0.0,0.30517578125,0.30517578125,1334125.3333333333,1334648.0,2114.244714465121,1324504,1336024,39582.0,39582.0,0.0,39582,39582,7.9164,7.9164,0.0,7.9164,7.9164
5000,2.0,0.75,random,0.00574570666503854,0.00380515000142615,0.007336510679745089,0.0035906999983126,0.0332128000009106,1.1491413330077193e-06,7.610300002852455e-07,1.467302135949018e-06,7.18139999662526e-07,6.642560000182129e-06,2010.8333333333333,2011.0,24.291453489729236,1958,2044,9.0,9.0,0.0,9,9,6141.0,6141.0,0.0,6141,6141,8192.0,8192.0,0.0,8192,8192,3192.0,3192.0,0.0,3192,3192,0.6103515625,0.6103515625,0.0,0.6103515625,0.6103515625,787718.9333333333,787736.0,652.4977438636146,786392,788632,33423.0,33423.0,0.0,33423,33423,6.6846,6.6846,0.0,6.6846,6.6846
5000,2.0,0.9,random,0.0059299133320260934,0.0040372500006924,0.0071720113668747145,0.003869999985909,0.0327207000082125,1.1859826664052282e-06,8.074500001384878e-07,1.4344022733749434e-06,7.739999971818179e-07,6.544140001642518e-06,2292.8,2291.0,23.81016879257758,2242,2338,9.0,9.0,0.0,9,9,7363.0,7363.0,0.0,7363,7363,8192.0,8192.0,0.0,8192,8192,3192.0,3192.0,0.0,3192,3192,0.6103515625,0.6103515625,0.0,0.6103515625,0.6103515625,787718.9333333333,787736.0,652.4977438636146,786392,788632,37089.0,37089.0,0.0,37089,37089,7.4178,7.4178,0.0,7.4178,7.4178
5000,3.0,0.5,random,0.00297493666730583,0.0029286499993759,0.0002104723108871122,0.0027312000020174,0.0038989999884506,5.949873334611766e-07,5.857299998751841e-07,4.20944621774226e-08,5.462400004034862e-07,7.797999976901338e-07,1275.0333333333333,1263.5,88.91238745910583,1198,1705,6.0,6.0,0.0,6,6,2918.0,2918.0,0.0,2918,2918,11664.0,11664.0,0.0,11664,11664,6664.0,6664.0,0.0,6664,6664,0.4286694101508916,0.4286694101508916,0.0,0.4286694101508916,0.4286694101508916,1020784.5333333333,1021464.0,3315.8364808621536,1004152,1023512,23754.0,23754.0,0.0,23754,23754,4.7508,4.7508,0.0,4.7508,4.7508
5000,3.0,0.75,random,0.0051580100000137,0.00326800000038925,0.007118337177110086,0.0031308000034186,0.0318486000032862,1.031602000002749e-06,6.536000000778586e-07,1.423667435422017e-06,6.261600006837398e-07,6.3697200006572526e-06,1682.4333333333334,1670.0,66.94912290292736,1604,1990,6.0,6.0,0.0,6,6,4374.0,4374.0,0.0,4374,4374,11664.0,11664.0,0.0,11664,11664,6664.0,6664.0,0.0,6664,6664,0.4286694101508916,0.4286694101508916,0.0,0.4286694101508916,0.4286694101508916,1020784.5333333333,1021464.0,3315.8364808621536,1004152,1023512,28122.0,28122.0,0.0,28122,28122,5.6244,5.6244,0.0,5.6244,5.6244
5000,3.0,0.9,random,0.00544215333211464,0.00353950000135225,0.007212744507572223,0.0033693000004859,0.0330887000018265,1.088430666422937e-06,7.079000002704561e-07,1.4425489015144435e-06,6.738600000971929e-07,6.617740000365302e-06,1969.0,1961.0,56.11195705139799,1897,2210,6.0,6.0,0.0,6,6,5245.0,5245.0,0.0,5245,5245,11664.0,11664.0,0.0,11664,11664,6664.0,6664.0,0.0,6664,6664,0.4286694101508916,0.4286694101508916,0.0,0.4286694101508916,0.4286694101508916,1020784.5333333333,1021464.0,3315.8364808621536,1004152,1023512,30735.0,30735.0,0.0,30735,30735,6.147,6.147,0.0,6.147,6.147
10000,1.5,0.5,random,0.020925953334274973,0.01357840000127905,0.013924045599657714,0.0131426000007195,0.0600021000136621,2.092595333427501e-06,1.3578400001279079e-06,1.3924045599657718e-06,1.314260000071954e-06,6.000210001366213e-06,3361.133333333333,3242.5,343.4655765849768,3140,4432,18.0,18.0,0.0,18,18,23840.0,23840.0,0.0,23840,23840,23846.0,23846.0,0.0,23846,23846,13846.0,13846.0,0.0,13846,13846,0.4193575442422209,0.4193575442422209,0.0,0.4193575442422209,0.4193575442422209,2065300.8,2076056.0,32879.09572378466,1942024,2078440,101520.0,101520.0,0.0,101520,101520,10.152,10.152,0.0,10.152,10.152
10000,1.5,0.75,random,0.01684719999902877,0.0120781500008888,0.011033420470480242,0.0113840000121854,0.0430139000091003,1.6847199999028816e-06,1.2078150000888856e-06,1.1033420470480238e-06,1.1384000012185424e-06,4.301390000910033e-06,4540.766666666666,4483.5,230.88416013728371,4398,5587,17.0,17.0,0.0,17,17,23827.0,23827.0,0.0,23827,23827,15897.0,15897.0,0.0,15897,15897,5897.0,5897.0,0.0,5897,5897,0.6290495061961376,0.6290495061961376,0.0,0.6290495061961376,0.6290495061961376,1547912.5333333334,1548528.0,4433.498033065476,1525424,1552080,101481.0,101481.0,0.0,101481,101481,10.1481,10.1481,0.0,10.1481,10.1481
